#633-NPs water	
# Wavelength (nm)	%R
2050	41.86416626
2049	41.69874954
2048	41.84151077
2047	41.7455864
2046	41.73615265
2045	41.42129517
2044	41.50139618
2043	41.56026077
2042	41.55458069
2041	41.51831818
2040	41.64874649
2039	41.41458893
2038	41.42311859
2037	41.42373657
2036	41.38116455
2035	41.28440094
2034	41.45836639
2033	41.45195007
2032	41.32245255
2031	41.32061386
2030	41.07016754
2029	41.21482086
2028	41.12433624
2027	41.13048172
2026	41.17965317
2025	41.10109329
2024	41.08581924
2023	41.14868546
2022	41.09129333
2021	40.93180466
2020	40.89184952
2019	40.88386154
2018	40.81545258
2017	40.83333969
2016	40.75799942
2015	40.79766083
2014	40.85147476
2013	40.64915085
2012	40.62901688
2011	40.67326736
2010	40.43928146
2009	40.85566711
2008	40.39959717
2007	40.76100922
2006	40.72293854
2005	40.51025772
2004	40.42766953
2003	40.50542068
2002	40.5537796
2001	40.40465164
2000	40.55635452
1999	40.42939758
1998	40.40335846
1997	40.4365387
1996	40.36613083
1995	40.47959137
1994	40.2728157
1993	40.18854141
1992	40.30104446
1991	40.22188187
1990	40.28186798
1989	40.08864212
1988	40.2203331
1987	40.07886887
1986	40.15758514
1985	39.97480392
1984	40.10040283
1983	39.96841049
1982	40.04494858
1981	40.09630203
1980	39.98226929
1979	39.8164978
1978	40.06252289
1977	39.80039215
1976	39.87420654
1975	39.83436203
1974	39.92198563
1973	39.92598343
1972	39.85269547
1971	39.73161316
1970	39.91478729
1969	39.73779678
1968	39.76665497
1967	39.69789124
1966	39.75234604
1965	39.57815933
1964	39.54621887
1963	39.668293
1962	39.56201172
1961	39.56665039
1960	39.54375458
1959	39.42342377
1958	39.59988785
1957	39.5243454
1956	39.47656631
1955	39.61828995
1954	39.50725174
1953	39.49084091
1952	39.47806549
1951	39.46734238
1950	39.53720474
1949	39.58114624
1948	39.4023819
1947	39.42672729
1946	39.30950165
1945	39.38467026
1944	39.39412689
1943	39.35664368
1942	39.46712875
1941	39.49769592
1940	39.35303497
1939	39.33404541
1938	39.38817978
1937	39.34733582
1936	39.42446136
1935	39.31830978
1934	39.41114044
1933	39.44651031
1932	39.36864471
1931	39.16806412
1930	39.2872963
1929	39.39101028
1928	39.38697433
1927	39.36566925
1926	39.45500183
1925	39.44077301
1924	39.37445068
1923	39.28613281
1922	39.37339401
1921	39.29866409
1920	39.46215057
1919	39.30984116
1918	39.31207657
1917	39.31069946
1916	39.53594208
